iter	Passed	Remaining
763	15846	87859
764	15864	87827
765	15882	87788
766	15899	87746
767	15917	87709
768	15934	87671
769	15954	87646
770	15971	87607
771	15992	87585
772	16009	87546
773	16029	87521
774	16049	87493
775	16067	87462
776	16089	87446
777	16107	87411
778	16126	87381
779	16146	87358
780	16168	87342
781	16187	87312
782	16207	87288
783	16227	87262
784	16246	87233
785	16264	87200
786	16283	87169
787	16301	87136
788	16320	87103
789	16340	87078
790	16356	87036
791	16375	87002
792	16395	86982
793	16414	86949
794	16432	86917
795	16450	86882
796	16469	86849
797	16485	86807
798	16504	86776
799	16522	86745
800	16542	86721
801	16562	86693
802	16580	86660
803	16595	86612
804	16613	86577
805	16634	86555
806	16652	86522
807	16670	86489
808	16688	86455
809	16708	86430
810	16727	86399
811	16744	86360
812	16761	86324
813	16781	86297
814	16801	86275
815	16817	86231
816	16835	86196
817	16854	86168
818	16872	86133
819	16889	86094
820	16906	86056
821	16925	86030
822	16939	85972
823	16960	85952
824	16980	85933
825	16999	85901
826	17017	85870
827	17037	85847
828	17057	85820
829	17075	85791
830	17094	85758
831	17112	85725
832	17130	85694
833	17147	85656
834	17166	85629
835	17185	85598
836	17204	85572
837	17223	85542
838	17241	85510
839	17258	85471
840	17276	85439
841	17295	85411
842	17314	85381
843	17333	85350
844	17350	85317
845	17367	85278
846	17383	85236
847	17402	85206
848	17421	85177
849	17439	85143
850	17457	85113
851	17477	85087
852	17496	85063
853	17517	85043
854	17536	85014
855	17556	84994
856	17575	84965
857	17593	84934
858	17610	84894
859	17628	84860
860	17647	84833
861	17667	84811
862	17686	84785
863	17707	84764
864	17726	84738
865	17743	84703
866	17762	84672
867	17779	84638
868	17799	84613
869	17816	84574
870	17834	84545
871	17854	84521
872	17875	84504
873	17895	84481
874	17911	84441
875	17932	84421
876	17951	84396
877	17969	84362
878	17988	84334
879	18007	84309
880	18029	84292
881	18046	84259
882	18065	84232
883	18086	84210
884	18105	84185
885	18122	84147
886	18140	84115
887	18157	84082
888	18176	84051
889	18196	84029
890	18214	83998
891	18231	83961
892	18248	83925
893	18264	83887
894	18284	83862
895	18301	83826
896	18321	83802
897	18338	83770
898	18359	83749
899	18377	83721
900	18396	83691
901	18414	83662
902	18433	83636
903	18452	83605
904	18470	83578
905	18490	83553
906	18509	83528
907	18529	83506
908	18547	83472
909	18568	83454
910	18586	83426
911	18606	83401
912	18625	83375
913	18641	83336
914	18659	83303
915	18677	83275
916	18698	83254
917	18718	83234
918	18738	83210
919	18755	83178
920	18774	83150
921	18791	83113
922	18810	83088
923	18828	83059
924	18850	83042
925	18868	83013
926	18887	82988
927	18905	82958
928	18921	82914
929	18938	82880
930	18958	82860
931	18977	82831
932	18995	82800
933	19012	82769
934	19032	82745
935	19051	82719
936	19069	82687
937	19088	82663
938	19106	82633
939	19126	82609
940	19142	82569
941	19161	82546
942	19177	82505
943	19197	82483
944	19214	82448
945	19233	82423
946	19249	82384
947	19267	82354
948	19284	82320
949	19304	82298
950	19326	82287
951	19346	82264
952	19367	82243
953	19381	82200
954	19399	82169
955	19419	82146
956	19437	82118
957	19459	82102
958	19478	82076
959	19496	82047
960	19518	82032
961	19536	82003
962	19555	81977
963	19572	81945
964	19589	81910
965	19608	81884
966	19625	81850
967	19643	81822
968	19665	81806
969	19683	81776
970	19704	81760
971	19721	81726
972	19740	81702
973	19760	81680
974	19778	81650
975	19796	81621
976	19817	81603
977	19836	81577
978	19854	81547
979	19871	81512
980	19889	81484
981	19908	81459
982	19926	81427
983	19944	81401
984	19964	81377
985	19980	81340
986	19999	81316
987	20018	81289
988	20037	81266
989	20056	81238
990	20075	81214
991	20094	81188
992	20109	81148
993	20129	81123
994	20147	81096
995	20163	81059
996	20182	81035
997	20198	80997
998	20220	80984
999	20239	80959
1000	20258	80934
1001	20277	80907
1002	20294	80876
1003	20312	80845
1004	20332	80822
1005	20351	80799
1006	20368	80767
1007	20386	80737
1008	20403	80703
1009	20420	80670
1010	20437	80639
1011	20455	80608
1012	20474	80584
1013	20488	80538
1014	20507	80513
1015	20525	80484
1016	20542	80453
1017	20560	80423
1018	20580	80402
1019	20598	80374
1020	20616	80344
1021	20634	80316
1022	20652	80288
1023	20672	80266
1024	20692	80245
1025	20711	80222
1026	20731	80199
1027	20750	80176
1028	20768	80146
1029	20786	80119
1030	20804	80089
1031	20819	80050
1032	20840	80032
1033	20857	80001
1034	20874	79968
1035	20894	79948
1036	20916	79933
1037	20934	79906
1038	20954	79883
1039	20972	79858
1040	20992	79836
1041	21011	79811
1042	21031	79790
1043	21049	79763
1044	21068	79736
1045	21085	79706
1046	21102	79671
1047	21119	79641
1048	21138	79617
1049	21157	79590
1050	21177	79570
1051	21194	79540
1052	21213	79515
1053	21233	79495
1054	21248	79456
1055	21266	79428
1056	21285	79400
1057	21304	79379
1058	21323	79355
1059	21341	79325
1060	21359	79297
1061	21379	79276
1062	21397	79249
1063	21417	79228
